Pot (V),Itot (A/cm)
0,3.136531755540756e-10
0.1,6.981063037983866e-10
0.2,2.05770335589417e-09
0.3,7.076360121747885e-09
0.4,2.572479948397534e-08
0.5,9.757845975910075e-08
0.6,3.861140747903433e-07
0.7,1.608811883320546e-06
0.8,7.071054929659155e-06
0.9,3.239128538708829e-05
1,0.0001509679056926271
1.1,0.0006928994377799858
1.2,0.002925425916689752
1.3,0.01016700705166844
1.4,0.02669499515014837
1.5,0.05418339827030033
1.6,0.09155241926891618
1.7,0.1370030921429811
1.8,0.1890086561743027
1.9,0.2464302263455016
2,0.3084128671758714
2.1,0.3742821798894214
2.2,0.4434913473766107
2.3,0.5176588815533937
2.4,0.5916613868791933
2.5,0.667095227926458
2.6,0.7460781438184918
2.7,0.8270640647175346
2.8,0.9099086623985108
2.9,0.9961504963342377
3,1.079515485810727
3.1,1.16646836355102
3.2,1.254387614944368
3.3,1.34309290070074
3.4,1.433026969006997
3.5,1.523649397733855
3.6,1.616722216555895
3.7,1.708313306983457
3.8,1.801256172583776
3.9,1.894652893943692
4,1.988525992034035
4.1,2.08589741465007
4.2,2.176696421256589
4.3,2.270703210874484
4.4,2.364508082781942
4.5,2.45788741151694
4.6,2.55133096940444
4.7,2.642688843024287
4.8,2.735057659410712
4.9,2.822855746280413
5,2.910675187915067
5.1,2.996683087274687
5.2,3.084157454933122
5.3,3.162899488406257
5.4,3.242097747885599
5.5,3.319038175168602
5.6,3.393515771479386
5.7,3.465586859854998
5.8,3.534975161102748
5.9,3.60192607911307
6,3.666367503172709
6.1,3.72836063743785
6.2,3.788076041183491
6.3,3.845619543714106
6.4,3.900952841235977
6.5,3.954235096593392
6.6,4.005545894664754
6.7,4.054973596775409
6.8,4.102604802466636
6.9,4.148523635903807
7,4.192811262482259
7.1,4.235545582412796
7.2,4.276801058349517
7.3,4.316648643028657
7.4,4.355155780315238
7.5,4.392368853881197
7.6,4.428383052221999
7.7,4.463238816159367
7.8,4.496990405774756
7.9,4.529924764362796
8,4.56162204000512
8.1,4.592360599650984
8.2,4.622183688033383
8.3,4.651230953067874
8.4,4.679345037979273
8.5,4.706659544015216
8.6,4.733208941848084
8.7,4.759025821898203
8.8,4.784141007122446
8.9,4.8085836594951
9,4.832381380321553
9.1,4.855560304585103
9.2,4.878090503898719
9.3,4.900104266966213
9.4,4.921569718015807
9.5,4.942507958767709
9.6,4.962215459071881
9.7,4.982149646221905
9.8,5.001614129531634
9.9,5.020626062662754
10,5.039201757649133
