Date (s),Itot (A)
0,4.631476083628282e-16
1e-15,4.74752758614153e-16
2e-15,4.537238688219845e-16
3.2e-15,4.676422140572494e-16
4.64e-15,4.632759031990955e-16
6.368e-15,4.671020963434768e-16
7.36044e-15,4.537994788328821e-16
8.18937e-15,4.758222752130317e-16
8.79292e-15,4.472740908238934e-16
9.19528e-15,4.789235989100965e-16
9.46352e-15,4.323120263958165e-16
9.64235e-15,5.051086393805479e-16
9.76156e-15,3.615236202519737e-16
9.88078e-15,5.453904285789056e-16
9.94039e-15,3.370512535303724e-16
1e-14,-0.0001107884722527986
1.00715e-14,4.908321815022675e-08
1.0106e-14,9.717360759994162e-08
1.01348e-14,1.601122564335813e-07
1.01587e-14,2.310826512687801e-07
1.01787e-14,3.044470107086617e-07
1.01953e-14,3.761642444924988e-07
1.02092e-14,4.439106406874482e-07
1.0224e-14,5.252092531928875e-07
1.02395e-14,6.20611927872899e-07
1.02558e-14,7.326620331174148e-07
1.02729e-14,8.641146536240059e-07
1.02909e-14,1.018159180090414e-06
1.031e-14,1.19845300059901e-06
1.03302e-14,1.409174782876641e-06
1.03516e-14,1.65507547418469e-06
1.03743e-14,1.941526100630597e-06
1.03985e-14,2.274558182171476e-06
1.04242e-14,2.660891207204454e-06
1.04516e-14,3.10793956791506e-06
1.04806e-14,3.618679022122195e-06
1.05108e-14,4.188077528448199e-06
1.05423e-14,4.821872701815367e-06
1.05753e-14,5.5245332743022e-06
1.061e-14,6.300125567207639e-06
1.06465e-14,7.151905205707213e-06
1.0685e-14,8.081916967920041e-06
1.07257e-14,2.769246033165836e-06
1.0769e-14,1.017490133661611e-05
1.08031e-14,1.103011447913419e-05
1.08372e-14,1.188000927664985e-05
1.08713e-14,1.271772631471396e-05
1.09122e-14,1.370286271837295e-05
1.09613e-14,1.516197132154521e-05
1.10203e-14,1.620611205602694e-05
1.10844e-14,1.763036578778244e-05
1.11532e-14,1.911398741222482e-05
1.12273e-14,2.065922443945474e-05
1.13068e-14,2.226653320020832e-05
1.13923e-14,2.370027120570975e-05
1.1484e-14,2.566821248875167e-05
1.15824e-14,2.746075881137703e-05
1.16876e-14,2.931108240307762e-05
1.18002e-14,3.121800592483638e-05
1.19204e-14,3.317991995913718e-05
1.20488e-14,3.519494930443387e-05
1.218e-14,3.717642826023249e-05
1.23136e-14,3.911877008252799e-05
1.24504e-14,4.096492094240615e-05
1.25912e-14,4.293971553422214e-05
1.27365e-14,4.483445704676647e-05
1.28869e-14,4.678452577345094e-05
1.3045e-14,4.864360484300646e-05
1.32124e-14,5.060096815751113e-05
1.33895e-14,5.249245638216127e-05
1.35766e-14,5.47241492037476e-05
1.37744e-14,5.668414920300915e-05
1.3983e-14,5.877401874943429e-05
1.42033e-14,3.928095779502456e-05
1.44356e-14,6.608915990602025e-05
1.46804e-14,6.582823028524265e-05
1.49371e-14,6.751715458138332e-05
1.52074e-14,6.971495552321578e-05
1.54915e-14,7.192486258617004e-05
1.57913e-14,7.415318376993736e-05
1.61056e-14,7.638445623215402e-05
1.64338e-14,7.872973559508464e-05
1.67768e-14,8.082156635063451e-05
1.71317e-14,8.300566190856623e-05
1.74866e-14,8.508798778151008e-05
1.76049e-14,8.576114827922291e-05
1.77232e-14,8.642400913537981e-05
1.77824e-14,8.675170147084438e-05
1.78415e-14,8.707690170974221e-05
1.79125e-14,8.745562586422862e-05
1.79977e-14,8.787136327131858e-05
1.80999e-14,8.828608849949128e-05
1.82225e-14,8.86340586496691e-05
1.83697e-14,8.882618901999746e-05
1.85413e-14,8.880044421453696e-05
1.8627e-14,8.874963809740815e-05
1.87128e-14,8.868497600656704e-05
1.88157e-14,8.860745970597623e-05
1.89392e-14,8.851455506423141e-05
1.90874e-14,8.840323735876063e-05
1.92653e-14,8.826990040036012e-05
1.94787e-14,8.811025138341259e-05
1.97348e-14,8.79191901706931e-05
2.00421e-14,8.769065575428165e-05
2.04109e-14,8.741741746303846e-05
2.08534e-14,8.709108119375229e-05
2.13844e-14,8.670170304782555e-05
2.20217e-14,8.623766134170724e-05
2.27864e-14,8.56854483798858e-05
2.36961e-14,8.503502450446661e-05
2.46365e-14,8.436948340646378e-05
2.55983e-14,8.369588924321828e-05
2.65855e-14,8.301202477525572e-05
2.76107e-14,8.230986837120829e-05
2.86651e-14,8.159625855626435e-05
2.97606e-14,8.086390175483439e-05
3.0887e-14,8.012061112082326e-05
3.20298e-14,7.937653489447571e-05
3.31931e-14,7.862938772084402e-05
3.43938e-14,7.786935917823815e-05
3.56137e-14,7.710885407616642e-05
3.68641e-14,7.634127014363205e-05
3.81391e-14,7.55706476269393e-05
3.94416e-14,7.47960688264378e-05
4.07813e-14,7.401264577998555e-05
4.21507e-14,7.322601051844043e-05
4.35412e-14,7.244166206901946e-05
4.49672e-14,7.165224327521197e-05
4.64155e-14,7.08650059207439e-05
4.78838e-14,7.007435377866611e-05
4.93755e-14,6.930427222783611e-05
5.08901e-14,6.852977522248364e-05
5.24248e-14,6.776181522775407e-05
5.39761e-14,6.700195970444932e-05
5.55603e-14,6.62430143037065e-05
5.71691e-14,6.548976997928639e-05
5.88031e-14,6.474290777928356e-05
6.04723e-14,6.399823991430575e-05
6.21759e-14,6.530750260008363e-05
6.39104e-14,4.951250850920847e-05
6.56823e-14,6.016074010152009e-05
6.7467e-14,6.294289780989497e-05
6.92758e-14,6.136058625833587e-05
7.11197e-14,5.999986352369407e-05
7.29979e-14,5.912062189391937e-05
7.48942e-14,5.915093178889067e-05
7.6828e-14,5.937190004799293e-05
7.87973e-14,5.472277292782509e-05
8.0798e-14,5.712684638354891e-05
8.28397e-14,5.5354753458758e-05
8.49127e-14,5.546574469887109e-05
8.70289e-14,5.511732318522046e-05
