
16/12/2021 15:24:33
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
Fe_source

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
0,4.631474873898635e-16
1e-15,4.716832005410649e-16
2e-15,4.560501703034489e-16
3.2e-15,4.735253613144072e-16
4.64e-15,4.577647051373139e-16
6.368e-15,4.684809813834978e-16
7.36758e-15,4.536130818489225e-16
8.17634e-15,4.729698499428271e-16
8.78423e-15,4.530501803476517e-16
9.18949e-15,4.869308285355213e-16
9.45966e-15,4.229466302253085e-16
9.63977e-15,5.17561933322521e-16
9.75985e-15,3.951756898394552e-16
9.87992e-15,5.216956254925596e-16
9.93996e-15,3.174700699126312e-16
1e-14,-6.239513878248743e-06
1.0072e-14,-1.565892718346557e-06
1.01137e-14,9.572468522140427e-07
1.01485e-14,-1.164486258940565e-07
1.01774e-14,1.73575486779243e-07
1.02016e-14,-2.339853080909455e-07
1.02217e-14,-3.708089346788413e-06
1.02384e-14,-5.373942463893217e-07
1.02524e-14,-3.916492811191027e-07
1.02676e-14,6.091810437021762e-07
1.02838e-14,-5.127213533883739e-07
1.03011e-14,-5.878439600839467e-07
1.03156e-14,-5.045501465094348e-07
1.03307e-14,-7.268097590195474e-07
1.03473e-14,-8.108179803635431e-07
1.03653e-14,-9.06803176060857e-07
1.03821e-14,-9.991304125042831e-07
1.04007e-14,-1.476484576160585e-06
1.0421e-14,-1.226275050024236e-06
1.04432e-14,-1.362509131305452e-06
1.04674e-14,-1.470842632110442e-06
1.04938e-14,-1.68279052915074e-06
1.05226e-14,-1.871443911816168e-06
1.05541e-14,-2.097747449947759e-06
1.05885e-14,-2.296800826675411e-06
1.06245e-14,-2.738188454498035e-06
1.06625e-14,-2.784189268845975e-06
1.07026e-14,-3.034813077800367e-06
1.07451e-14,-3.290701180972243e-06
1.07853e-14,-3.521016795731898e-06
1.08314e-14,-3.771528887148227e-06
1.08775e-14,-4.254971437683607e-06
1.09326e-14,-4.273674706921784e-06
1.09916e-14,-4.527321782535743e-06
1.10553e-14,-4.779596567320933e-06
1.11241e-14,-5.030530901785989e-06
1.11985e-14,-5.280250079193005e-06
1.12789e-14,-5.292674440772091e-06
1.13659e-14,-5.801039893840424e-06
1.14599e-14,-6.048301682161554e-06
1.15617e-14,-6.294242535238118e-06
1.16717e-14,-6.53869056004293e-06
1.17907e-14,-6.781473977891141e-06
1.19194e-14,-6.886662392401182e-06
1.20586e-14,-7.250468729359359e-06
1.22091e-14,-7.202026004846386e-06
1.23717e-14,-7.700134036331278e-06
1.25475e-14,-7.92995623428688e-06
1.27375e-14,-8.1561651227733e-06
1.29426e-14,-8.378245548568149e-06
1.31529e-14,-8.585191840256557e-06
1.33684e-14,-8.778320412720319e-06
1.35905e-14,-8.959696982843915e-06
1.38204e-14,-9.130854389769809e-06
1.40626e-14,-9.294979616521786e-06
1.43207e-14,-9.453630071433398e-06
1.45946e-14,-9.605684604573701e-06
1.48854e-14,-9.750820046197439e-06
1.51943e-14,-9.888722775841099e-06
1.55222e-14,-1.001860413579621e-05
1.58699e-14,-1.013974445900821e-05
1.62381e-14,-1.025155456936459e-05
1.66278e-14,-1.035302633989458e-05
1.7037e-14,-1.044309444047469e-05
1.7324e-14,-1.049725838174909e-05
1.75153e-14,-1.052952873566622e-05
1.76428e-14,-1.05495560470883e-05
1.77704e-14,-1.056830527631787e-05
1.78342e-14,-1.057714905421232e-05
1.78979e-14,-1.058571329897733e-05
1.79745e-14,-1.059492968179443e-05
1.80663e-14,-1.060262127387121e-05
1.81765e-14,-1.06047993811507e-05
1.83087e-14,-1.059544704476128e-05
1.84643e-14,-1.056795288211501e-05
1.86199e-14,-1.052779366000628e-05
1.86977e-14,-1.050586820035145e-05
1.87755e-14,-1.048331624349138e-05
1.88688e-14,-1.045633553392829e-05
1.89809e-14,-1.042404746791871e-05
1.91153e-14,-1.038532645198121e-05
1.92766e-14,-1.033896979767912e-05
1.94702e-14,-1.028369252143887e-05
1.97024e-14,-1.021765096659205e-05
1.99812e-14,-1.013902605918416e-05
2.03157e-14,-1.105116427813295e-05
2.0717e-14,-9.943829524048816e-06
2.11987e-14,-9.814156518731503e-06
2.17767e-14,-9.660740659185153e-06
2.24703e-14,-9.478977159836829e-06
2.33026e-14,-9.120984625537173e-06
2.43013e-14,-8.952307382924037e-06
2.54998e-14,-8.738779165334574e-06
2.67332e-14,-8.07606682245688e-06
2.80195e-14,-8.09847004809862e-06
2.93264e-14,-7.818791392060668e-06
3.06579e-14,-7.526547128493e-06
3.20037e-14,-7.334365789548024e-06
3.33943e-14,-7.067109513270786e-06
3.47889e-14,-6.750955505684761e-06
3.62266e-14,-6.428660692836917e-06
3.77035e-14,-5.770622074902847e-06
3.92093e-14,-5.940621047311634e-06
4.07537e-14,-5.680119962515191e-06
4.23302e-14,-5.423851846695696e-06
4.39453e-14,-5.170993548369072e-06
4.55893e-14,-5.483618794415262e-06
4.72642e-14,-4.660928790794894e-06
4.89802e-14,-4.419992030493291e-06
5.07087e-14,-4.188232066184908e-06
5.24729e-14,-3.960978126976709e-06
5.42477e-14,-3.742185681677357e-06
5.60489e-14,-3.529822692625852e-06
5.78762e-14,-3.325060851542759e-06
5.97395e-14,-3.122326406306462e-06
6.16331e-14,-2.929691485930534e-06
6.35645e-14,-2.741544039100448e-06
6.55357e-14,-2.55896918181115e-06
6.75422e-14,-2.382472527300929e-06
6.95839e-14,-2.212176911744596e-06
7.166e-14,-2.047786217761696e-06
7.37658e-14,-1.88991744675943e-06
7.59059e-14,-1.738114199329223e-06
7.80805e-14,-1.621137456553204e-06
8.02849e-14,-1.48368109033569e-06
8.25189e-14,-1.350932064419386e-06
8.47857e-14,-1.224324020169947e-06
8.70902e-14,-1.103283898693938e-06
8.94263e-14,-9.880529578454401e-07
9.18055e-14,-8.780072699407313e-07
9.42172e-14,-7.735282264154087e-07
9.66567e-14,-6.74701021711184e-07
9.91412e-14,-5.806484552218218e-07
1.01671e-13,-4.917351646172743e-07
1.04254e-13,-4.055297911985028e-07
1.06878e-13,-3.240710310484432e-07
1.09559e-13,-2.474808192505126e-07
1.1229e-13,-1.721202814966855e-07
1.15046e-13,-1.075932774038598e-07
1.17837e-13,-4.292313872316803e-08
1.20641e-13,1.370945244537822e-08
1.23489e-13,6.842749131696708e-08
1.26382e-13,1.19491605544593e-07
1.29331e-13,2.020354902931483e-07
1.32329e-13,2.0957575207831e-07
1.3538e-13,2.509522003912998e-07
1.38487e-13,2.890200462565442e-07
1.41641e-13,3.241338313448949e-07
1.44846e-13,3.562416469481071e-07
1.48084e-13,3.852094443485538e-07
1.51369e-13,4.110622159387919e-07
1.54702e-13,4.35753842363096e-07
1.58091e-13,4.576465877408145e-07
1.61545e-13,4.771274342358873e-07
1.65041e-13,4.956359555493074e-07
1.68593e-13,5.097249790650853e-07
1.72178e-13,5.195972224195255e-07
1.75806e-13,5.335669902928193e-07
1.79495e-13,5.39625473928908e-07
1.83239e-13,5.565586649506783e-07
1.87043e-13,5.525524022866038e-07
