
16/12/2021 15:27:14
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
O_source

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
0,4.631475594029332e-16
1e-15,4.709457103103592e-16
2e-15,4.524803867265295e-16
3.2e-15,4.731201423665811e-16
4.64e-15,4.591518285859748e-16
6.368e-15,4.688884837263655e-16
7.34098e-15,4.567007396228739e-16
8.22487e-15,4.715084951326778e-16
8.81658e-15,4.484038347351604e-16
9.21106e-15,4.850512710380942e-16
9.47404e-15,4.403773329374296e-16
9.64936e-15,5.1255889991696e-16
9.76624e-15,3.917306857516774e-16
9.88312e-15,5.560733514780376e-16
9.94156e-15,3.041889446845148e-16
1e-14,-5.397499102396326e-06
1.00701e-14,4.724236427458038e-07
1.01107e-14,-1.428199173277545e-06
1.01445e-14,3.450256101925275e-07
1.01727e-14,5.863731883154545e-08
1.01962e-14,3.619410060046139e-07
1.02158e-14,-1.012778454982939e-06
1.02321e-14,6.211642322900117e-08
1.02457e-14,9.532269864714808e-08
1.02591e-14,1.04677717179653e-07
1.02703e-14,-5.828521148617726e-08
1.02825e-14,-6.513823452222547e-08
1.02958e-14,-7.321818388753267e-08
1.03094e-14,-8.210769740286291e-08
1.03243e-14,-9.262383550825663e-08
1.03406e-14,-1.049850199758681e-07
1.03584e-14,-1.195073252235236e-07
1.03777e-14,1.206321559149705e-09
1.03986e-14,-1.565044495776429e-07
1.04213e-14,-3.014714135745522e-08
1.04403e-14,-2.00503635342028e-07
1.04612e-14,-2.245793729158675e-07
1.04814e-14,-2.761329684527101e-07
1.0504e-14,-4.319958102652943e-07
1.05289e-14,-3.113907140663575e-07
1.05565e-14,-5.99258011141604e-07
1.05869e-14,-3.959135687929318e-07
1.06206e-14,-3.000258338908093e-08
1.06486e-14,-4.912970946005616e-07
1.0677e-14,-5.37208892893698e-07
1.07092e-14,-5.903779062013136e-07
1.07456e-14,-5.63793215006699e-07
1.07818e-14,-7.116807018742874e-07
1.0818e-14,-7.717030329399267e-07
1.08542e-14,-8.307028529460631e-07
1.08976e-14,-8.998243990857321e-07
1.09497e-14,-9.804927297892346e-07
1.10122e-14,-1.074228014120774e-06
1.10816e-14,-1.282116473689477e-06
1.11557e-14,-1.276931227133654e-06
1.12354e-14,-1.383826335198351e-06
1.13212e-14,-1.281498827562045e-06
1.14136e-14,-1.605218884581683e-06
1.15132e-14,-1.723255464780919e-06
1.16207e-14,-1.845241310705048e-06
1.17368e-14,-1.841835582422419e-06
1.18568e-14,-2.090297188536886e-06
1.19921e-14,-2.224018733392938e-06
1.21378e-14,-2.313248374260156e-06
1.22953e-14,-2.503758272729579e-06
1.24655e-14,-2.648266703088136e-06
1.26493e-14,-2.796194658512642e-06
1.28478e-14,-2.947333084076273e-06
1.30623e-14,-3.101396283562957e-06
1.32938e-14,-3.258157425983097e-06
1.35437e-14,-3.417188959487712e-06
1.38133e-14,-3.578225663958325e-06
1.4104e-14,-3.74079465227308e-06
1.44174e-14,-3.731833326636304e-06
1.47569e-14,-4.075457693469241e-06
1.51238e-14,-4.242571033023898e-06
1.55017e-14,-4.401012818980938e-06
1.58868e-14,-4.595234103237085e-06
1.62674e-14,-4.651571395366828e-06
1.66716e-14,-4.778880577249255e-06
1.70103e-14,-4.89262307017174e-06
1.72361e-14,-4.954293716441565e-06
1.74619e-14,-5.018907520364854e-06
1.75749e-14,-5.050300108624316e-06
1.76313e-14,-5.065784712900681e-06
1.76878e-14,-5.081072063815215e-06
1.77555e-14,-5.098835181175804e-06
1.78368e-14,-5.118199755331983e-06
1.79344e-14,-5.137248761066501e-06
1.80514e-14,-5.152679483268904e-06
1.81919e-14,-5.159914175277594e-06
1.83086e-14,-5.158870627311485e-06
1.84253e-14,-5.152908776164785e-06
1.84836e-14,-5.149209489035444e-06
1.8542e-14,-5.145274173247548e-06
1.8612e-14,-5.140563353417354e-06
1.8696e-14,-5.134924930925357e-06
1.87968e-14,-5.12817774678433e-06
1.89178e-14,-5.120108946186816e-06
1.9063e-14,-5.110426864646533e-06
1.92372e-14,-5.09885838114654e-06
1.94462e-14,-5.085035985069154e-06
1.96971e-14,-5.068531718798477e-06
1.99981e-14,-5.048846224208007e-06
2.03594e-14,-5.025370269653652e-06
2.07929e-14,-4.997282370327848e-06
2.1313e-14,-4.963831245843284e-06
2.19373e-14,-4.924096957709265e-06
2.26863e-14,-4.876478618241046e-06
2.35852e-14,-4.821447999063562e-06
2.46639e-14,-4.750244691856238e-06
2.59583e-14,-4.672092973739013e-06
2.74176e-14,-4.585860516943704e-06
2.88958e-14,-4.500107352964652e-06
3.04103e-14,-4.414051228980855e-06
3.19828e-14,-4.300551102085865e-06
3.35637e-14,-4.217194782664363e-06
3.51998e-14,-4.131253308983989e-06
3.68794e-14,-4.045354446870095e-06
3.86055e-14,-3.95863091179809e-06
4.03599e-14,-3.883974700167781e-06
4.2139e-14,-3.783126324087742e-06
4.39627e-14,-3.699608555308201e-06
4.58133e-14,-3.61635257559845e-06
4.77051e-14,-3.533678451799052e-06
4.96493e-14,-3.450801262834256e-06
5.16277e-14,-3.368488788289262e-06
5.36082e-14,-3.288452725467375e-06
5.56216e-14,-3.209583081991252e-06
5.76699e-14,-3.172293441220143e-06
5.97586e-14,-3.0768566232375e-06
6.18851e-14,-2.998321717377599e-06
6.40528e-14,-2.922057283024456e-06
