
16/12/2021 15:21:45
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
Xe_source

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
0,4.631474466442602e-16
1e-15,4.713004256376203e-16
2e-15,4.525589524671025e-16
3.2e-15,4.692804716230858e-16
4.64e-15,4.560324258579845e-16
6.368e-15,4.700853781436763e-16
7.50948e-15,4.548683532312426e-16
8.27046e-15,4.751887215961365e-16
8.77779e-15,4.496233406336108e-16
9.18519e-15,4.899092460342733e-16
9.5926e-15,4.333015713304785e-16
9.7284e-15,5.175020159995241e-16
9.8642e-15,3.976711892170271e-16
9.9321e-15,5.629546208754779e-16
1e-14,-6.026642716129508e-06
1.00679e-14,4.638289395974036e-07
1.01072e-14,4.829940535582589e-07
1.01399e-14,-2.672415948784403e-07
1.01672e-14,-9.666011116933631e-07
1.019e-14,2.367370493814322e-07
1.02089e-14,-5.829358949253542e-07
1.02247e-14,-1.912061629133849e-07
1.02379e-14,-7.749187773188661e-07
1.02488e-14,-8.540879768307065e-07
1.02603e-14,-9.411168689906127e-07
1.02728e-14,-1.040968910942884e-06
1.02864e-14,-1.607559365341641e-06
1.03011e-14,-1.284318733961736e-06
1.03171e-14,-1.415840234475009e-06
1.03343e-14,-1.588474470202369e-06
1.03528e-14,-1.769751221912618e-06
1.03728e-14,-1.663640090847642e-06
1.03944e-14,-2.186970893152957e-06
1.04176e-14,-2.963083254146738e-06
1.04426e-14,-2.696395384133091e-06
1.04693e-14,-2.977215139875643e-06
1.04971e-14,-3.268974019118179e-06
1.05206e-14,-3.511159842374686e-06
1.05469e-14,-3.780427644409858e-06
1.05758e-14,-4.276972735551305e-06
1.06075e-14,-4.377118171706126e-06
1.06422e-14,-4.70711769040583e-06
1.06789e-14,-5.043051389660299e-06
1.07177e-14,-5.383155687599251e-06
1.07587e-14,-5.183611202809055e-06
1.08023e-14,-6.077189812312119e-06
1.08486e-14,-6.420303836139808e-06
1.08979e-14,-6.760547216187122e-06
1.095e-14,-6.265657332554726e-06
1.10021e-14,-7.394460928187216e-06
1.10628e-14,-7.874664040859071e-06
1.11236e-14,-7.944412982754118e-06
1.1194e-14,-8.249299000011101e-06
1.12696e-14,-8.546983662247878e-06
1.13513e-14,-8.839732045967013e-06
1.14396e-14,-9.127745560555805e-06
1.15351e-14,-9.411292748580025e-06
1.16384e-14,-9.690513150135057e-06
1.17501e-14,-9.959153354685691e-06
1.18708e-14,-1.022144016358373e-05
1.20014e-14,-1.048721384669321e-05
1.21426e-14,-1.074815651530846e-05
1.2294e-14,-1.078494873280142e-05
1.24261e-14,-1.120999198098861e-05
1.25678e-14,-1.141439962163656e-05
1.27196e-14,-1.161204370119949e-05
1.2882e-14,-1.180580408123947e-05
1.30557e-14,-1.199533393375345e-05
1.32414e-14,-1.217997940043499e-05
1.34396e-14,-1.235901729891712e-05
1.36491e-14,-1.249978645071552e-05
1.38722e-14,-1.266238413094751e-05
1.41097e-14,-1.281854567698293e-05
1.43622e-14,-1.296624050851439e-05
1.46305e-14,-1.310453121387921e-05
1.49153e-14,-1.322193167125157e-05
1.52223e-14,-1.335076484067494e-05
1.55541e-14,-1.345837252352016e-05
1.59129e-14,-1.355357843657324e-05
1.63011e-14,-1.387956223151485e-05
1.67212e-14,-1.37025471982303e-05
1.71585e-14,-1.374587006688209e-05
1.76137e-14,-1.454324451210758e-05
1.80822e-14,-1.379661496851131e-05
1.85506e-14,-1.378059878987859e-05
1.87068e-14,-1.377087989871185e-05
1.88629e-14,-1.375925030605207e-05
1.8941e-14,-1.375273224824769e-05
1.90191e-14,-1.374578567847099e-05
1.91128e-14,-1.373586883983576e-05
1.92252e-14,-1.371890016745203e-05
1.93601e-14,-1.36883551805376e-05
1.9522e-14,-1.363467145282378e-05
1.96884e-14,-1.356227810548477e-05
1.98548e-14,-1.347717249405629e-05
1.9938e-14,-1.343277536346154e-05
2.00212e-14,-1.338782473042104e-05
2.0121e-14,-1.333400784419468e-05
2.02408e-14,-1.326961267012893e-05
2.03846e-14,-1.319273787021395e-05
2.05571e-14,-1.310100318109116e-05
2.07641e-14,-1.29916808369133e-05
2.10126e-14,-1.286157234249591e-05
2.13107e-14,-1.238482930239532e-05
2.16684e-14,-1.25917400703566e-05
2.20977e-14,-1.237387586569695e-05
2.26128e-14,-1.211693051343778e-05
2.3231e-14,-1.181506211533815e-05
2.39728e-14,-1.146181528856496e-05
2.48629e-14,-1.104995881339984e-05
2.59311e-14,-1.057293972453231e-05
2.70719e-14,-1.008250654485625e-05
2.82432e-14,-9.597727132668069e-06
2.94509e-14,-9.560278201681965e-06
3.06917e-14,-8.725427977208222e-06
3.19724e-14,-7.140513796316543e-06
3.32849e-14,-7.77212880324682e-06
3.46385e-14,-7.305778058555639e-06
3.60254e-14,-6.855046047268315e-06
3.7438e-14,-6.417460927177219e-06
3.88728e-14,-5.994426230596138e-06
4.0345e-14,-5.582022682034145e-06
4.18393e-14,-5.184604430152901e-06
4.33362e-14,-4.806858651636775e-06
4.48602e-14,-4.4423802417308e-06
4.63999e-14,-4.093610787010652e-06
4.79764e-14,-3.756142017640957e-06
4.95846e-14,-3.431329650212624e-06
5.12251e-14,-3.209857440259044e-06
5.28857e-14,-3.136514205647931e-06
5.4572e-14,-2.50728465707021e-06
5.62941e-14,-2.240557168853572e-06
5.80525e-14,-1.985423808152727e-06
5.98492e-14,-1.741761878581444e-06
6.16704e-14,-1.51126675350235e-06
6.35189e-14,-1.293270463414796e-06
6.54109e-14,-1.085888576429306e-06
6.73202e-14,-8.913312231848282e-07
6.92609e-14,-7.081138722144978e-07
7.12351e-14,-5.357359799729878e-07
7.32237e-14,-3.751805512852921e-07
7.52482e-14,-2.245535046991632e-07
7.72966e-14,-1.335800092303337e-07
7.93829e-14,5.52529138102422e-08
8.14947e-14,1.762304486019962e-07
8.36346e-14,2.881032988149445e-07
8.58008e-14,3.922206725495186e-07
8.80043e-14,4.8692286706217e-07
9.02514e-14,5.740951443229439e-07
9.25445e-14,6.547963075268944e-07
9.48856e-14,7.286616527621596e-07
9.72642e-14,7.956705281765512e-07
9.96888e-14,8.56302608237831e-07
1.02144e-13,9.105823361093097e-07
1.04608e-13,9.584571141740092e-07
1.071e-13,1.00182820482846e-06
1.0961e-13,1.037262331783305e-06
1.12161e-13,1.071020079145551e-06
1.14759e-13,1.094920259709382e-06
1.17407e-13,1.122999317561742e-06
1.2009e-13,1.137278593390997e-06
1.22818e-13,1.158611004576618e-06
1.25598e-13,1.170446901973044e-06
1.28404e-13,1.17981182732433e-06
1.31257e-13,1.186389223093242e-06
1.34153e-13,1.190286811529314e-06
1.37084e-13,1.191865771463822e-06
1.40066e-13,1.190891265908159e-06
1.43096e-13,1.187921472992434e-06
1.46162e-13,1.186877216234612e-06
1.49287e-13,1.180290616741873e-06
1.52447e-13,1.172218882662347e-06
1.55634e-13,1.163207539482377e-06
1.58866e-13,1.150280852418406e-06
1.62148e-13,1.14008270665204e-06
1.65483e-13,1.127235882109389e-06
1.68873e-13,1.113671593169916e-06
1.72311e-13,1.099472556549947e-06
1.75803e-13,1.08472357423019e-06
1.79351e-13,1.069495278032982e-06
1.8293e-13,1.057104932007126e-06
1.86556e-13,1.04076340307986e-06
1.90239e-13,9.808567364039809e-07
1.93973e-13,9.646951961481092e-07
1.97764e-13,9.4898399229474e-07
2.01614e-13,9.333188144213731e-07
2.05537e-13,9.176385035310101e-07
2.09508e-13,9.020945051084344e-07
2.13545e-13,8.866706526671159e-07
2.17649e-13,8.714612599949751e-07
2.21821e-13,8.56481796187708e-07
2.26038e-13,8.418284015649488e-07
2.30306e-13,8.275165278919467e-07
2.34641e-13,8.150931686314758e-07
2.39051e-13,7.966966992140949e-07
2.43541e-13,7.873652503441755e-07
2.48094e-13,7.737647510350003e-07
2.52685e-13,7.677477330271935e-07
2.57348e-13,7.589311403504159e-07
2.62103e-13,7.537491342437249e-07
2.66943e-13,7.476288315530042e-07
2.71887e-13,7.450141753902848e-07
2.76904e-13,7.348595620216503e-07
2.81959e-13,7.238531494156125e-07
2.87122e-13,7.210349120215862e-07
2.92353e-13,7.114313872739981e-07
2.97661e-13,7.025611957313793e-07
3.03054e-13,6.943771464168933e-07
3.08534e-13,6.864965779957198e-07
3.14102e-13,6.794866751931596e-07
3.19755e-13,6.683402097872e-07
3.25481e-13,6.667395576892679e-07
3.31273e-13,6.592815701880712e-07
3.37156e-13,6.535058747174903e-07
3.4312e-13,6.481175419237463e-07
3.49136e-13,6.439153203180179e-07
3.55205e-13,6.385946946780324e-07
3.61342e-13,6.343572393809222e-07
3.67568e-13,6.304473984047699e-07
3.73882e-13,6.406508805847447e-07
3.80226e-13,6.371833172615725e-07
3.86685e-13,6.353067564660151e-07
3.932e-13,6.327309754645909e-07
3.99802e-13,6.304218044018065e-07
4.06493e-13,6.283692907994903e-07
4.13168e-13,6.26537472718067e-07
4.19912e-13,6.246911062577951e-07
4.26734e-13,6.233088943710154e-07
4.33549e-13,6.172074500258104e-07
4.40372e-13,6.196171631841407e-07
4.47223e-13,6.203854046146494e-07
4.54111e-13,6.201702442421741e-07
4.60997e-13,6.209420695881174e-07
4.67906e-13,6.221444744914608e-07
4.74846e-13,6.231687059721477e-07
4.81791e-13,6.218814898542045e-07
4.8879e-13,6.219400636992681e-07
4.95813e-13,6.221105181268905e-07
5.02863e-13,6.223738611438825e-07
5.0997e-13,6.228085203479876e-07
5.17107e-13,6.233444685801521e-07
5.24311e-13,6.239661048393857e-07
5.31581e-13,6.24684361650877e-07
5.38925e-13,6.254527544750134e-07
5.46315e-13,6.262820865075356e-07
5.53768e-13,6.271897272588695e-07
5.61288e-13,6.281411295007293e-07
5.68862e-13,6.291800722928599e-07
5.76507e-13,6.33256565294937e-07
5.84205e-13,6.317852752158637e-07
5.92e-13,6.329869899936002e-07
5.99894e-13,6.342464072072378e-07
6.07877e-13,6.355907057034449e-07
6.15953e-13,6.379275755644084e-07
6.24131e-13,6.403356738238575e-07
6.32369e-13,6.420251867272288e-07
6.37888e-13,6.431551473051722e-07
6.44512e-13,6.460312484890806e-07
6.5246e-13,6.462727682771194e-07
6.60996e-13,6.50354659309959e-07
6.69607e-13,6.499275799102558e-07
6.78326e-13,6.519087179696515e-07
6.87149e-13,6.539428631866355e-07
6.96095e-13,1.007657977575009e-06
7.05146e-13,6.575888096252663e-07
7.14325e-13,6.585748686525401e-07
7.23637e-13,6.602265949187107e-07
7.33086e-13,6.78806571577309e-07
7.42654e-13,6.799198761981045e-07
7.52412e-13,6.845514067549122e-07
7.62318e-13,6.820392254349599e-07
7.72378e-13,6.867621942537463e-07
7.82597e-13,6.875211499153392e-07
7.92947e-13,6.904910149941045e-07
8.03461e-13,6.935792025794804e-07
8.14144e-13,6.96787475388763e-07
8.24997e-13,7.001486022633995e-07
8.36004e-13,7.575377032457222e-07
8.47183e-13,7.303128151966126e-07
8.58539e-13,7.303473965704596e-07
8.70068e-13,7.343233949487962e-07
8.81784e-13,7.384610455743857e-07
8.93693e-13,7.451439453370722e-07
9.0579e-13,7.473045913953867e-07
9.18086e-13,7.520549151723553e-07
9.30585e-13,7.570514800165176e-07
9.43294e-13,7.650593757057394e-07
9.56211e-13,7.68980633668331e-07
9.69341e-13,7.745656099968883e-07
9.82646e-13,7.804012258750853e-07
9.9617e-13,7.865195191842412e-07
1.00991e-12,7.974562023697115e-07
1.02385e-12,8.010206718915341e-07
1.03801e-12,8.142923574158172e-07
1.05241e-12,8.144370262444723e-07
1.06704e-12,8.236301964594097e-07
1.08189e-12,8.299514718935123e-07
1.09697e-12,8.383546039351883e-07
1.1123e-12,8.471798298825974e-07
1.12788e-12,8.575353052153229e-07
1.14371e-12,8.706704344406847e-07
1.1598e-12,8.788217780644523e-07
1.17616e-12,8.917606068395204e-07
1.19255e-12,9.018007698522168e-07
1.20939e-12,9.124473009902298e-07
1.22651e-12,9.335457685140378e-07
1.24386e-12,9.380511505658084e-07
1.26154e-12,9.553803787659289e-07
1.27952e-12,9.761952127309891e-07
1.29782e-12,9.625307792900601e-07
1.31643e-12,1.001355599093552e-06
1.33538e-12,9.674566112486542e-07
1.35467e-12,1.038117022793103e-06
1.3743e-12,1.056321960778644e-06
1.39436e-12,1.076016017120764e-06
1.41472e-12,1.09803542234544e-06
1.43543e-12,1.167143955583269e-06
1.45655e-12,1.147566748220353e-06
1.47806e-12,1.172146046101084e-06
1.5e-12,1.202608720302577e-06
1.52239e-12,1.236798251826021e-06
1.54524e-12,1.270392366882319e-06
1.56859e-12,1.306602037067251e-06
1.59243e-12,1.346564938833104e-06
1.61678e-12,1.386920726367696e-06
1.64165e-12,1.433941455689295e-06
1.66707e-12,1.480848664333022e-06
1.69308e-12,1.540003922389382e-06
1.71953e-12,1.595778601852405e-06
1.7466e-12,1.798579961270527e-06
1.77428e-12,1.573816855520795e-06
1.80259e-12,1.888228426775876e-06
1.83135e-12,1.883537595915218e-06
1.86092e-12,1.917114740873731e-06
1.89122e-12,2.062730187321044e-06
1.92219e-12,2.179753495739411e-06
1.95392e-12,2.273307891122578e-06
1.98645e-12,2.329810641415892e-06
2.01957e-12,2.523550873459928e-06
2.05353e-12,2.667791939858419e-06
2.08837e-12,2.8225420018043e-06
2.12412e-12,2.998176759328765e-06
2.16092e-12,3.192640263257669e-06
2.19866e-12,3.396055829278768e-06
2.2374e-12,4.046458482633443e-06
2.27749e-12,3.859188545176977e-06
2.319e-12,4.088133809831757e-06
2.36189e-12,4.418786647727286e-06
2.40622e-12,4.741681890922523e-06
2.4518e-12,5.101179913085767e-06
2.49862e-12,5.429495769229208e-06
2.54684e-12,5.528861313927442e-06
2.59571e-12,6.346360158947445e-06
2.64666e-12,6.846253733797644e-06
2.69949e-12,7.3957204937028e-06
2.75391e-12,8.418930877318219e-06
2.81015e-12,8.673214821908459e-06
2.86865e-12,9.49879295322309e-06
2.92894e-12,1.011755989647427e-05
2.99192e-12,1.095269356926288e-05
3.05735e-12,1.151860127514371e-05
3.12489e-12,1.279962252616029e-05
3.19531e-12,1.384447914960075e-05
3.26829e-12,1.501223619023395e-05
3.34484e-12,1.616244582784987e-05
3.42454e-12,1.745652897169982e-05
3.50835e-12,1.88112048006363e-05
3.5958e-12,2.013875947258464e-05
3.68528e-12,2.183368373449571e-05
3.75984e-12,2.311618639294478e-05
3.84835e-12,2.462546505428214e-05
3.94126e-12,2.614830050860776e-05
4.04102e-12,2.774771518910234e-05
4.13573e-12,2.939188322978429e-05
4.23303e-12,3.102301858286714e-05
4.33465e-12,3.273452987179397e-05
4.44147e-12,3.434957155947809e-05
4.54289e-12,3.630194923176447e-05
4.65183e-12,3.819197101395411e-05
4.76739e-12,4.016533836260843e-05
4.88029e-12,4.211452139614646e-05
4.99992e-12,4.413898089930334e-05
5.12151e-12,4.615378098395424e-05
