date,value
20231030,4067.44
20231027,4058.34
20231026,4053.38
20231025,4027.03
20231024,4033.62
20231023,3982.33
20231020,4015.03
20231019,4082.53
20231018,4147.15
20231017,4208.88
20231016,4252.1
20231013,4247.14
20231012,4282.77
20231011,4287.12
20231010,4274.47
20231009,4179.27
20231006,4189.61
20231005,4135
20231004,4138.77
20231003,4159.95
20231002,4221.68
20230929,4269.52
20230928,4239.42
20230927,4215.45
20230926,4232.97
20230925,4275.45
20230922,4326.24
20230921,4340.86
20230920,4387.07
20230919,4369.37
20230918,4383.31
20230915,4406.46
20230914,4400.54
20230913,4313.53
20230912,4328.65
20230911,4377.05
20230908,4330.86
20230907,4358.06
20230906,4394.5
20230905,4383.43
20230901,4390.71
20230831,4378.95
20230830,4393.69
20230829,4369.64
20230828,4294.21
20230825,4232.24
20230824,4227.12
20230823,4252.44
20230822,4240.55
20230821,4201.61
20230818,4209.88
20230817,4226.16
20230816,4232.57
20230815,4246.95
20230814,4270.61
20230811,4303.85
20230810,4349.05
20230809,4318.35
20230808,4265.71
20230807,4298.17
20230804,4291.94
20230803,4266.43
20230802,4309.41
20230801,4376.34
20230731,4388.24
20230728,4385.13
20230727,4384.29
20230726,4437.67
20230725,4479.52
20230724,4412.14
20230721,4397.96
20230720,4405.25
20230719,4419.3
20230718,4410.34
20230717,4377.14
20230714,4403.8
20230713,4467.76
20230712,4441.49
20230711,4385.39
20230710,4355.55
20230707,4364.99
20230706,4352.27
20230705,4433.59
20230703,4461.54
20230630,4419.87
20230629,4400.84
20230628,4413.25
20230627,4382.07
20230626,4371.3
20230623,4371.81
20230622,4371.81
20230621,4445.99
20230620,4526.85
20230616,4607.76
20230615,4665.83
20230614,4682.92
20230613,4672.56
20230612,4629.24
20230609,4627.98
20230608,4611.2
20230607,4618.72
20230606,4621.7
20230605,4599.77
20230602,4597.78
20230601,4494.75
20230531,4463.1
20230530,4524.59
20230526,4536.65
20230525,4497.82
20230524,4552.82
20230523,4627.94
20230522,4627.68
20230519,4642.8
20230518,4631.66
20230517,4631.66
20230516,4647.04
20230515,4706.42
20230512,4694.59
20230511,4712.62
20230510,4720.51
20230509,4719.53
20230508,4782.35
20230505,4765.06
20230504,4707.08
20230503,4734.59
20230502,4705.52
20230501,4749.99
20230428,4749.99
20230427,4755.08
20230426,4755.95
20230425,4720.34
20230424,4730.33
20230421,4722.46
20230420,4751.69
20230419,4784.9
20230418,4808.46
20230417,4818.25
20230414,4821.48
20230413,4790.8
20230412,4786.04
20230411,4816.34
20230410,4760.67
20230406,4760.67
20230405,4744.48
20230404,4781.26
20230403,4763.85
20230331,4777.66
20230330,4749.53
20230329,4676.45
20230328,4638.92
20230327,4644.37
20230324,4611.7
20230323,4713.34
20230322,4735.85
20230321,4765.37
20230320,4669.08
20230317,4619.27
20230316,4692.3
20230315,4667.23
20230314,4824.99
20230313,4771.25
20230310,4876.8
20230309,4958.88
20230308,5001.01
20230307,5003.57
20230306,5043.67
20230303,5067.93
20230302,5006
20230301,5016.32
20230228,5027.02
20230227,5030.05
20230224,4961.16
20230223,4992.14
20230222,4998.38
20230221,4998.03
20230217,5014.16
20230216,5015.11
20230215,5005.36
20230214,5019.74
20230213,5021.28
20230210,4961.36
20230209,5036.79
20230208,5042.17
20230207,5010.65
20230206,5007.76
20230203,5057.87
20230202,5061.21
20230201,4975.07
20230131,4938.44
20230130,4986.07
20230127,5013.54
20230126,5007.16
20230125,4968.53
20230124,5010.68
20230123,5021.52
20230120,4983.15
20230119,4957.22
20230118,5019.99
